"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
1.000,0.64,-3.00,-2.68,1.000,0.31,-3.09,2.59,1.000,0.54,-2.81,-2.11,1.000,0.69,-2.59,-1.74,1.000,0.46,-2.61,-1.15,1.000,0.65,-2.38,-0.74,1.000,0.22,-2.28,10.74,1.000,0.71,-1.82,-2.87,1.000,0.78,-1.31,0.83,1.000,0.97,-1.03,-1.21
1.020,0.58,-3.05,-2.49,1.020,0.25,-3.14,15.97,1.020,0.48,-2.85,-1.82,1.020,0.64,-2.60,-2.08,1.020,0.41,-2.65,-1.92,1.020,0.60,-2.37,-0.85,1.020,0.17,-1.97,22.88,1.020,0.67,-1.88,-1.18,1.020,0.76,-1.36,-3.57,1.020,0.95,-1.03,-0.10
1.040,0.51,-3.08,-3.02,1.040,0.19,-2.54,138.31,1.040,0.43,-2.88,-1.65,1.040,0.59,-2.69,-2.34,1.040,0.36,-2.70,-2.59,1.040,0.55,-2.39,-1.44,1.040,0.13,-1.24,120.97,1.040,0.64,-1.87,0.47,1.040,0.73,-1.53,-5.41,1.040,0.93,-1.03,0.59
1.060,0.45,-3.15,-3.93,1.060,0.12,-1.65,356.60,1.060,0.37,-2.92,-1.67,1.060,0.53,-2.74,-1.46,1.060,0.30,-2.75,-1.47,1.060,0.51,-2.44,-1.80,1.060,0.12,-0.55,295.24,1.060,0.60,-1.83,0.90,1.060,0.69,-1.67,-2.88,1.060,0.91,-1.01,0.70
1.080,0.39,-3.26,-6.05,1.080,0.13,12.03,450.35,1.080,0.31,-2.95,0.05,1.080,0.48,-2.74,-0.55,1.080,0.25,-2.82,172.68,1.080,0.45,-2.48,-1.39,1.080,0.12,10.82,368.96,1.080,0.56,-1.82,0.24,1.080,0.66,-1.65,0.91,1.080,0.89,-0.98,0.60
1.100,0.32,-3.34,163.69,1.100,0.10,25.08,219.77,1.100,0.25,-2.99,174.61,1.100,0.43,-2.72,-0.87,1.100,0.19,-2.71,549.32,1.100,0.40,-2.50,-0.89,1.100,0.11,21.41,174.83,1.100,0.53,-1.83,-0.54,1.100,0.63,-1.58,4.12,1.100,0.87,-0.99,0.53
1.120,0.26,-3.62,539.57,1.120,1.65,24.76,-214.06,1.120,0.19,-2.80,548.80,1.120,0.37,-2.76,-1.98,1.120,0.13,17.98,689.90,1.120,0.35,-2.50,-0.84,1.120,1.44,21.08,-186.89,1.120,0.49,-1.85,-0.92,1.120,0.60,-1.50,4.82,1.120,0.85,-0.97,0.57
1.140,0.19,16.85,690.49,1.140,1.62,11.99,-420.69,1.140,0.13,17.90,690.53,1.140,0.31,-2.82,0.06,1.140,0.09,42.37,192.29,1.140,0.30,-2.53,0.65,1.140,1.38,10.17,-356.22,1.140,0.45,-1.87,-0.94,1.140,0.57,-1.32,1.95,1.140,0.83,-0.95,0.58
1.160,0.09,41.30,211.41,1.160,1.59,-0.56,-306.21,1.160,0.09,42.02,203.44,1.160,0.26,-2.88,8.08,1.160,2.50,34.89,-641.14,1.160,0.25,-2.55,5.70,1.160,1.39,-0.37,-258.74,1.160,0.42,-1.89,-0.82,1.160,0.54,-1.34,-3.20,1.160,0.81,-0.95,0.10
1.180,2.51,34.60,-612.32,1.180,1.60,-0.08,-94.47,1.180,2.49,35.05,-618.09,1.180,0.20,-2.60,240.02,1.180,2.90,3.45,-908.98,1.180,0.20,-2.37,208.92,1.180,1.38,0.11,-80.54,1.180,0.38,-1.90,-0.75,1.180,0.53,-1.52,-5.74,1.180,0.79,-0.94,-0.81
1.200,2.89,4.00,-887.47,1.200,1.60,0.08,5.38,1.200,2.87,4.46,-889.60,1.200,0.14,-2.02,521.47,1.200,1.51,-20.04,-418.56,1.200,0.15,-1.98,513.41,1.200,1.39,0.09,2.29,1.200,0.34,-1.91,-0.75,1.200,0.48,-1.69,-2.01,1.200,0.77,-0.97,-1.91
1.220,1.54,-19.33,-415.49,1.220,1.60,0.01,-0.14,1.220,1.56,-18.71,-421.59,1.220,0.12,25.12,453.13,1.220,1.50,-11.78,137.08,1.220,0.12,21.97,523.19,1.220,1.39,0.04,-1.98,1.220,0.30,-1.93,-0.74,1.220,0.45,-1.66,3.71,1.220,0.76,-1.03,-2.36
