"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
1.040,1.03,-0.97,0.68,1.040,0.91,-1.03,-0.59,1.040,1.18,-0.89,2.48,1.040,1.10,-0.98,-0.94,1.040,1.08,-0.90,-3.03,1.040,1.03,-0.90,-1.70,1.040,1.00,-0.93,-4.58,1.040,0.93,-0.92,-0.17,1.040,1.12,-0.89,-1.67,1.040,1.37,-0.62,-1.27
1.060,1.02,-0.95,0.58,1.060,0.89,-1.05,0.05,1.060,1.16,-0.81,0.88,1.060,1.08,-0.93,1.03,1.060,1.07,-0.98,-1.62,1.060,1.01,-0.91,-1.86,1.060,0.97,-1.09,-3.17,1.060,0.91,-0.92,-0.25,1.060,1.10,-0.95,-1.34,1.060,1.35,-0.62,-0.15
1.080,1.00,-0.95,-0.17,1.080,0.87,-1.03,0.87,1.080,1.15,-0.83,-1.79,1.080,1.06,-0.88,1.09,1.080,1.04,-0.99,0.75,1.080,0.99,-0.97,-1.94,1.080,0.95,-1.13,-0.12,1.080,0.90,-0.92,-0.56,1.080,1.08,-0.96,-0.65,1.080,1.34,-0.61,-0.44
1.100,0.98,-0.97,-0.34,1.100,0.85,-1.00,1.12,1.100,1.13,-0.92,-2.85,1.100,1.04,-0.88,0.21,1.100,1.02,-0.92,1.89,1.100,0.97,-1.02,-0.82,1.100,0.93,-1.02,1.67,1.100,0.88,-0.94,-0.67,1.100,1.06,-0.96,-0.17,1.100,1.33,-0.61,-1.67
1.120,0.96,-0.98,-0.08,1.120,0.83,-0.97,0.54,1.120,1.11,-0.99,-1.72,1.120,1.03,-0.89,-0.18,1.120,1.01,-0.87,1.19,1.120,0.95,-1.03,1.30,1.120,0.91,-1.02,1.24,1.120,0.86,-0.97,-0.22,1.120,1.04,-0.96,-0.10,1.120,1.32,-0.67,-2.64
1.140,0.94,-0.96,-0.15,1.140,0.81,-0.97,-0.33,1.140,1.09,-0.98,-0.36,1.140,1.01,-0.89,-0.07,1.140,0.99,-0.87,-0.12,1.140,0.93,-0.95,2.09,1.140,0.89,-1.01,0.64,1.140,0.84,-0.96,0.53,1.140,1.02,-0.97,-0.04,1.140,1.30,-0.75,-2.39
1.160,0.92,-0.96,-0.95,1.160,0.79,-0.99,-0.63,1.160,1.07,-0.97,0.16,1.160,0.99,-0.89,-0.12,1.160,0.97,-0.90,-0.67,1.160,0.91,-0.88,0.72,1.160,0.87,-1.00,0.99,1.160,0.82,-0.93,0.76,1.160,1.00,-0.96,-0.01,1.160,1.29,-0.79,-1.12
1.180,0.90,-1.00,-1.63,1.180,0.77,-1.02,-0.43,1.180,1.05,-0.99,0.10,1.180,0.97,-0.89,-0.54,1.180,0.96,-0.91,-0.44,1.180,0.90,-0.92,-1.21,1.180,0.85,-0.96,0.82,1.180,0.80,-0.91,0.14,1.180,0.98,-0.96,-0.27,1.180,1.27,-0.79,-0.14
1.200,0.88,-1.05,-1.27,1.200,0.75,-1.00,-0.46,1.200,1.03,-0.97,-0.12,1.200,0.96,-0.91,-1.05,1.200,0.94,-0.91,-0.17,1.200,0.88,-0.98,-1.38,1.200,0.83,-0.94,-0.29,1.200,0.78,-0.92,-0.80,1.200,0.97,-0.97,-0.52,1.200,1.26,-0.77,-0.04
1.220,0.86,-1.07,-0.35,1.220,0.73,-1.01,-0.96,1.220,1.01,-0.97,-0.63,1.220,0.94,-0.94,-1.10,1.220,0.92,-0.91,-0.18,1.220,0.86,-1.00,-0.42,1.220,0.81,-0.97,-1.74,1.220,0.76,-0.95,-1.54,1.220,0.94,-0.99,-0.40,1.220,1.24,-0.78,-0.42
1.240,0.84,-1.05,0.17,1.240,0.71,-1.05,-1.24,1.240,1.00,-1.00,-1.18,1.240,0.92,-0.96,-0.52,1.240,0.90,-0.91,4.48E-4,1.240,0.84,-0.97,0.09,1.240,0.79,-1.03,-1.98,1.240,0.75,-0.99,-1.61,1.240,0.93,-1.00,-0.20,1.240,1.22,-0.80,-0.79
1.260,0.82,-1.05,-0.02,1.260,0.69,-1.08,-0.52,1.260,0.97,-1.03,-1.04,1.260,0.90,-0.96,-0.03,1.260,0.88,-0.92,0.48,1.260,0.82,-0.98,-0.13,1.260,0.77,-1.08,-0.85,1.260,0.73,-1.03,-0.85,1.260,0.91,-0.98,-0.34,1.260,1.21,-0.82,-0.89
1.280,0.80,-1.05,-0.36,1.280,0.66,-1.08,0.40,1.280,0.95,-1.05,-0.21,1.280,0.88,-0.95,0.12,1.280,0.86,-0.90,1.02,1.280,0.80,-0.99,-0.37,1.280,0.75,-1.06,0.50,1.280,0.70,-1.04,0.57,1.280,0.89,-1.00,-0.36,1.280,1.19,-0.84,-0.80
1.300,0.77,-1.06,-0.45,1.300,0.64,-1.05,0.75,1.300,0.93,-1.04,0.52,1.300,0.86,-0.96,0.16,1.300,0.84,-0.87,1.24,1.300,0.78,-0.99,-0.17,1.300,0.73,-1.03,0.85,1.300,0.68,-1.01,1.58,1.300,0.87,-1.03,0.02,1.300,1.17,-0.85,-0.66
